Table:
"Weekday Duration Choice, Adults 18-65 pursuing all four primary activities (home, work, shop, other)"
,,HOME,,,,SHOP,,,,OTHER
Variable,,Estimate,Std. Error,"""T"" Ratio",,Estimate,Std. Error,"""T"" Ratio",,Estimate,Std. Error,"""T"" Ratio"
const [1],,0.8508,0.03,28.4,,-2.258,0.0771,-29.3,,-1.488,0.0534,-27.9
"male [1,0]",,-0.2735,0.00898,-30.5,,-0.2578,0.0225,-11.5,,0.06829,0.0156,4.4
age [N],,0.000374,0.000438,0.9,,-0.00148,0.00103,-1.4,,-0.002276,0.000741,-3.1
Residential Density class [1-13],,,,,,-0.01433,0.0044,-3.3,,0.01962,0.00305,6.4
"Northeast [1,0]",,-0.01223,0.0139,-0.9,,0.2035,0.033,6.2,,-0.5096,0.023,-22.1
"Southcent [1,0]",,-0.2066,0.0168,-12.3,,-0.4371,0.0454,-9.6,,-0.3103,0.0271,-11.4
"West[1,0]",,-0.1556,0.0144,-10.8,,-0.2397,0.0359,-6.7,,-0.2654,0.0232,-11.5
1990 Metro Pop [N],,6.996e-10,7.64e-10,0.9,,-5.462e-09,1.84e-09,-3,,1.549e-08,1.39e-09,11.1
Household Income [N],,0.0002799,0.00117,0.2,,-0.01075,0.00282,-3.8,,-0.00312,0.00201,-1.6
"Winter [1,0]",,0.02757,0.0137,2,,-0.003186,0.0327,-0.1,,-0.184,0.0226,-8.1
"Spring [1,0]",,0.02707,0.0131,2.1,,-0.0727,0.0309,-2.4,,-0.2194,0.0215,-10.2
"Summer [1,0]",,0.04175,0.0135,3.1,,-0.05605,0.032,-1.7,,-0.1006,0.0225,-4.5
"Single [1,0]",,-0.09051,0.00615,-14.7,,-0.02026,0.0147,-1.4,,-0.08505,0.0111,-7.7
"Childless [1,0]",,-0.1074,0.0151,-7.1,,-0.05725,0.035,-1.6,,-0.1464,0.0251,-5.8
"Youngest Child 0-6 [1,0]",,-0.04638,0.0172,-2.7,,-0.2239,0.0403,-5.6,,-0.2994,0.029,-10.3
"Youngest Child 7-15 [1,0]",,-0.09175,0.0165,-5.5,,-0.3084,0.0395,-7.8,,-0.2801,0.028,-10
Activity Frequency [1-N],,-0.007354,0.00439,-1.7,,0.6695,0.022,30.5,,0.3626,0.00476,76.2
Note: Work utility forced = 0
Summary Statistics,,Value
N,,752
Likelihood with zero coefficients,,-375297
Likelihood with constants only,,=-281194
Final value of likelihood,,=-276186
Rho-Squared w.r.t. Zero,,=0.2641
Rho-Squared w.r.t. Constants,,0.0178
