,TIMEHOME,,,,,TIMEWORK,,,,,TIMESHOP,,,,,TIMEOTHE,,,,,TIMETRAV
Value  Label,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases
ulation,1179.1945,200.8891,1049,,,7.7674,58.1945,1049,,,35.4805,64.5431,1049,,,157.6492,176.7518,1049,,,59.9085,66.7052,1049,,,=V4+Q4+L4+G4+B4
18-20,1066.0779,226.2538,77,=(B6-B$4)/SQRT(C6^2/D6+C$4^2/D$4),,5.8701,35.5411,77,=(G6-G$4)/SQRT(H6^2/I6+H$4^2/I$4),,37.3506,96.659,77,=(L6-L$4)/SQRT(M6^2/N6+M$4^2/N$4),,253.6494,224.1573,77,=(Q6-Q$4)/SQRT(R6^2/S6+R$4^2/S$4),,77.0519,81.0177,77,=(V6-V$4)/SQRT(W6^2/X6+W$4^2/X$4),,=V6+Q6+L6+G6+B6
21-25,1136.7748,222.6228,111,=(B7-B$4)/SQRT(C7^2/D7+C$4^2/D$4),,7.2072,54.9904,111,=(G7-G$4)/SQRT(H7^2/I7+H$4^2/I$4),,24.2252,53.8156,111,=(L7-L$4)/SQRT(M7^2/N7+M$4^2/N$4),,215.5676,208.4355,111,=(Q7-Q$4)/SQRT(R7^2/S7+R$4^2/S$4),,56.2252,55.7553,111,=(V7-V$4)/SQRT(W7^2/X7+W$4^2/X$4),,=V7+Q7+L7+G7+B7
26-30,1154.979,202.7398,143,=(B8-B$4)/SQRT(C8^2/D8+C$4^2/D$4),,27.2937,116.2214,143,=(G8-G$4)/SQRT(H8^2/I8+H$4^2/I$4),,37,72.4213,143,=(L8-L$4)/SQRT(M8^2/N8+M$4^2/N$4),,164.8462,178.8371,143,=(Q8-Q$4)/SQRT(R8^2/S8+R$4^2/S$4),,55.8811,53.4153,143,=(V8-V$4)/SQRT(W8^2/X8+W$4^2/X$4),,=V8+Q8+L8+G8+B8
31-35,1199.5918,183.702,147,=(B9-B$4)/SQRT(C9^2/D9+C$4^2/D$4),,5.5102,49.4758,147,=(G9-G$4)/SQRT(H9^2/I9+H$4^2/I$4),,35.5374,56.0206,147,=(L9-L$4)/SQRT(M9^2/N9+M$4^2/N$4),,144.7347,150.4452,147,=(Q9-Q$4)/SQRT(R9^2/S9+R$4^2/S$4),,54.6259,49.5347,147,=(V9-V$4)/SQRT(W9^2/X9+W$4^2/X$4),,=V9+Q9+L9+G9+B9
36-40,1199.4265,190.8311,136,=(B10-B$4)/SQRT(C10^2/D10+C$4^2/D$4),,0.625,6.1294,136,=(G10-G$4)/SQRT(H10^2/I10+H$4^2/I$4),,40.5735,55.5301,136,=(L10-L$4)/SQRT(M10^2/N10+M$4^2/N$4),,139.6618,172.8044,136,=(Q10-Q$4)/SQRT(R10^2/S10+R$4^2/S$4),,59.7132,67.3132,136,=(V10-V$4)/SQRT(W10^2/X10+W$4^2/X$4),,=V10+Q10+L10+G10+B10
41-45,1175.475,199.4046,80,=(B11-B$4)/SQRT(C11^2/D11+C$4^2/D$4),,15.625,74.3,80,=(G11-G$4)/SQRT(H11^2/I11+H$4^2/I$4),,25.625,44.3106,80,=(L11-L$4)/SQRT(M11^2/N11+M$4^2/N$4),,154.3625,168.9953,80,=(Q11-Q$4)/SQRT(R11^2/S11+R$4^2/S$4),,68.9125,89.7444,80,=(V11-V$4)/SQRT(W11^2/X11+W$4^2/X$4),,=V11+Q11+L11+G11+B11
46-50,1188.5902,222.2401,61,=(B12-B$4)/SQRT(C12^2/D12+C$4^2/D$4),,0.9836,7.6822,61,=(G12-G$4)/SQRT(H12^2/I12+H$4^2/I$4),,46.9016,74.2412,61,=(L12-L$4)/SQRT(M12^2/N12+M$4^2/N$4),,134.6393,181.4742,61,=(Q12-Q$4)/SQRT(R12^2/S12+R$4^2/S$4),,68.8852,86.5993,61,=(V12-V$4)/SQRT(W12^2/X12+W$4^2/X$4),,=V12+Q12+L12+G12+B12
51-55,1194.44,177.7857,75,=(B13-B$4)/SQRT(C13^2/D13+C$4^2/D$4),,6.3733,55.1947,75,=(G13-G$4)/SQRT(H13^2/I13+H$4^2/I$4),,42.2267,79.2515,75,=(L13-L$4)/SQRT(M13^2/N13+M$4^2/N$4),,131.9467,149.4248,75,=(Q13-Q$4)/SQRT(R13^2/S13+R$4^2/S$4),,65.0133,72.4821,75,=(V13-V$4)/SQRT(W13^2/X13+W$4^2/X$4),,=V13+Q13+L13+G13+B13
56-60,1211.0297,194.1689,101,=(B14-B$4)/SQRT(C14^2/D14+C$4^2/D$4),,3.0693,30.8462,101,=(G14-G$4)/SQRT(H14^2/I14+H$4^2/I$4),,42.495,63.7518,101,=(L14-L$4)/SQRT(M14^2/N14+M$4^2/N$4),,128.3663,165.5561,101,=(Q14-Q$4)/SQRT(R14^2/S14+R$4^2/S$4),,55.0396,63.4342,101,=(V14-V$4)/SQRT(W14^2/X14+W$4^2/X$4),,=V14+Q14+L14+G14+B14
61-65,1234.2542,165.0689,118,=(B15-B$4)/SQRT(C15^2/D15+C$4^2/D$4),,0,0,118,=(G15-G$4)/SQRT(H15^2/I15+H$4^2/I$4),,27.5508,51.569,118,=(L15-L$4)/SQRT(M15^2/N15+M$4^2/N$4),,124.1441,136.5228,118,=(Q15-Q$4)/SQRT(R15^2/S15+R$4^2/S$4),,54.0508,66.6357,118,=(V15-V$4)/SQRT(W15^2/X15+W$4^2/X$4),,=V15+Q15+L15+G15+B15
