,TIMEHOME,,,,,TIMEWORK,,,,,TIMESHOP,,,,,TIMEOTHE,,,,,TIMETRAV
Value  Label,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases
AGE,963.8222,239.7678,3021,,,290.3191,255.9488,3021,,,25.5836,64.2385,3021,,,97.9341,146.5176,3021,,,62.3409,56.0784,3021,,,=V4+Q4+L4+G4+B4
18-20,962.8098,238.0774,163,=(B6-B$4)/SQRT(C6^2/D6+C$4^2/D$4),,243.5951,228.9801,163,=(G6-G$4)/SQRT(H6^2/I6+H$4^2/I$4),,22.3313,83.594,163,=(L6-L$4)/SQRT(M6^2/N6+M$4^2/N$4),,146.8466,177.9931,163,=(Q6-Q$4)/SQRT(R6^2/S6+R$4^2/S$4),,64.4172,68.4328,163,=(V6-V$4)/SQRT(W6^2/X6+W$4^2/X$4),,=V6+Q6+L6+G6+B6
21-25,935.8686,247.1951,411,=(B7-B$4)/SQRT(C7^2/D7+C$4^2/D$4),,305.0681,256.5492,411,=(G7-G$4)/SQRT(H7^2/I7+H$4^2/I$4),,20.0852,63.9063,411,=(L7-L$4)/SQRT(M7^2/N7+M$4^2/N$4),,110.8418,169.9214,411,=(Q7-Q$4)/SQRT(R7^2/S7+R$4^2/S$4),,68.1363,74.4604,411,=(V7-V$4)/SQRT(W7^2/X7+W$4^2/X$4),,=V7+Q7+L7+G7+B7
26-30,946.4901,239.804,504,=(B8-B$4)/SQRT(C8^2/D8+C$4^2/D$4),,304.4742,257.039,504,=(G8-G$4)/SQRT(H8^2/I8+H$4^2/I$4),,22.5615,50.1975,504,=(L8-L$4)/SQRT(M8^2/N8+M$4^2/N$4),,104.0992,145.2251,504,=(Q8-Q$4)/SQRT(R8^2/S8+R$4^2/S$4),,62.375,54.1455,504,=(V8-V$4)/SQRT(W8^2/X8+W$4^2/X$4),,=V8+Q8+L8+G8+B8
31-35,983.5149,239.0648,470,=(B9-B$4)/SQRT(C9^2/D9+C$4^2/D$4),,265.3021,257.4834,470,=(G9-G$4)/SQRT(H9^2/I9+H$4^2/I$4),,29.2234,70.1597,470,=(L9-L$4)/SQRT(M9^2/N9+M$4^2/N$4),,100.0277,140.7653,470,=(Q9-Q$4)/SQRT(R9^2/S9+R$4^2/S$4),,61.9319,47.8834,470,=(V9-V$4)/SQRT(W9^2/X9+W$4^2/X$4),,=V9+Q9+L9+G9+B9
36-40,975.2988,238.6353,405,=(B10-B$4)/SQRT(C10^2/D10+C$4^2/D$4),,286.5136,253.3088,405,=(G10-G$4)/SQRT(H10^2/I10+H$4^2/I$4),,25.4099,56.8116,405,=(L10-L$4)/SQRT(M10^2/N10+M$4^2/N$4),,92.1728,131.6729,405,=(Q10-Q$4)/SQRT(R10^2/S10+R$4^2/S$4),,60.6049,51.6364,405,=(V10-V$4)/SQRT(W10^2/X10+W$4^2/X$4),,=V10+Q10+L10+G10+B10
41-45,961.5741,240.4498,371,=(B11-B$4)/SQRT(C11^2/D11+C$4^2/D$4),,299.6038,263.4365,371,=(G11-G$4)/SQRT(H11^2/I11+H$4^2/I$4),,29.1509,60.7815,371,=(L11-L$4)/SQRT(M11^2/N11+M$4^2/N$4),,87.5714,141.2342,371,=(Q11-Q$4)/SQRT(R11^2/S11+R$4^2/S$4),,62.0997,51.5382,371,=(V11-V$4)/SQRT(W11^2/X11+W$4^2/X$4),,=V11+Q11+L11+G11+B11
46-50,942.4528,227.6542,265,=(B12-B$4)/SQRT(C12^2/D12+C$4^2/D$4),,321.8113,251.0383,265,=(G12-G$4)/SQRT(H12^2/I12+H$4^2/I$4),,27.9925,72.7328,265,=(L12-L$4)/SQRT(M12^2/N12+M$4^2/N$4),,84.7887,140.4826,265,=(Q12-Q$4)/SQRT(R12^2/S12+R$4^2/S$4),,62.9547,55.792,265,=(V12-V$4)/SQRT(W12^2/X12+W$4^2/X$4),,=V12+Q12+L12+G12+B12
51-55,989.1171,241.1596,205,=(B13-B$4)/SQRT(C13^2/D13+C$4^2/D$4),,274.039,260.3518,205,=(G13-G$4)/SQRT(H13^2/I13+H$4^2/I$4),,29.6488,78.8848,205,=(L13-L$4)/SQRT(M13^2/N13+M$4^2/N$4),,87.8829,142.0415,205,=(Q13-Q$4)/SQRT(R13^2/S13+R$4^2/S$4),,59.3122,48.9795,205,=(V13-V$4)/SQRT(W13^2/X13+W$4^2/X$4),,=V13+Q13+L13+G13+B13
56-60,977.3796,225.7395,137,=(B14-B$4)/SQRT(C14^2/D14+C$4^2/D$4),,297.6131,256.6645,137,=(G14-G$4)/SQRT(H14^2/I14+H$4^2/I$4),,24.2044,50.3101,137,=(L14-L$4)/SQRT(M14^2/N14+M$4^2/N$4),,80.6861,126.9231,137,=(Q14-Q$4)/SQRT(R14^2/S14+R$4^2/S$4),,60.1168,50.3967,137,=(V14-V$4)/SQRT(W14^2/X14+W$4^2/X$4),,=V14+Q14+L14+G14+B14
61-65,1029.8222,246.2188,90,=(B15-B$4)/SQRT(C15^2/D15+C$4^2/D$4),,271.0667,254.6963,90,=(G15-G$4)/SQRT(H15^2/I15+H$4^2/I$4),,26.3222,63.9253,90,=(L15-L$4)/SQRT(M15^2/N15+M$4^2/N$4),,61.4444,120.7528,90,=(Q15-Q$4)/SQRT(R15^2/S15+R$4^2/S$4),,51.3444,43.6418,90,=(V15-V$4)/SQRT(W15^2/X15+W$4^2/X$4),,=V15+Q15+L15+G15+B15
