,TIMEHOME,,,,,TIMEWORK,,,,,TIMESHOP,,,,,TIMEOTHE,,,,,TIMETRAV
Value  Label,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases
AGE,1168.4203,225.7907,433,,,13.3349,79.8819,433,,,19.1848,41.7914,433,,,183.0462,205.5784,433,,,56.0139,65.0979,433,,,=V4+Q4+L4+G4+B4
18-20,1047,250.639,60,=(B6-B$4)/SQRT(C6^2/D6+C$4^2/D$4),,10.75,76.1421,60,=(G6-G$4)/SQRT(H6^2/I6+H$4^2/I$4),,13.9667,49.4454,60,=(L6-L$4)/SQRT(M6^2/N6+M$4^2/N$4),,318.2,244.2316,60,=(Q6-Q$4)/SQRT(R6^2/S6+R$4^2/S$4),,50.0833,47.3513,60,=(V6-V$4)/SQRT(W6^2/X6+W$4^2/X$4),,=V6+Q6+L6+G6+B6
21-25,1128.6571,239.4466,70,=(B7-B$4)/SQRT(C7^2/D7+C$4^2/D$4),,22.8,108.5462,70,=(G7-G$4)/SQRT(H7^2/I7+H$4^2/I$4),,23.2714,60.1216,70,=(L7-L$4)/SQRT(M7^2/N7+M$4^2/N$4),,207.7714,219.3577,70,=(Q7-Q$4)/SQRT(R7^2/S7+R$4^2/S$4),,57.5,51.6627,70,=(V7-V$4)/SQRT(W7^2/X7+W$4^2/X$4),,=V7+Q7+L7+G7+B7
26-30,1140.5789,226.0825,38,=(B8-B$4)/SQRT(C8^2/D8+C$4^2/D$4),,22.3158,102.0109,38,=(G8-G$4)/SQRT(H8^2/I8+H$4^2/I$4),,23.7105,41.4004,38,=(L8-L$4)/SQRT(M8^2/N8+M$4^2/N$4),,196.6842,209.8353,38,=(Q8-Q$4)/SQRT(R8^2/S8+R$4^2/S$4),,56.7105,60.8334,38,=(V8-V$4)/SQRT(W8^2/X8+W$4^2/X$4),,=V8+Q8+L8+G8+B8
31-35,1178.92,204.8709,25,=(B9-B$4)/SQRT(C9^2/D9+C$4^2/D$4),,43.2,149.5819,25,=(G9-G$4)/SQRT(H9^2/I9+H$4^2/I$4),,13.4,44.4382,25,=(L9-L$4)/SQRT(M9^2/N9+M$4^2/N$4),,163.08,168.524,25,=(Q9-Q$4)/SQRT(R9^2/S9+R$4^2/S$4),,41.4,32.4268,25,=(V9-V$4)/SQRT(W9^2/X9+W$4^2/X$4),,=V9+Q9+L9+G9+B9
36-40,1222.875,217.4743,24,=(B10-B$4)/SQRT(C10^2/D10+C$4^2/D$4),,5.8333,28.5774,24,=(G10-G$4)/SQRT(H10^2/I10+H$4^2/I$4),,9.125,14.5163,24,=(L10-L$4)/SQRT(M10^2/N10+M$4^2/N$4),,144.125,207.3074,24,=(Q10-Q$4)/SQRT(R10^2/S10+R$4^2/S$4),,58.0417,73.9856,24,=(V10-V$4)/SQRT(W10^2/X10+W$4^2/X$4),,=V10+Q10+L10+G10+B10
41-45,1207.2083,263.5419,24,=(B11-B$4)/SQRT(C11^2/D11+C$4^2/D$4),,0,0,24,=(G11-G$4)/SQRT(H11^2/I11+H$4^2/I$4),,24.7917,33.6167,24,=(L11-L$4)/SQRT(M11^2/N11+M$4^2/N$4),,107.1667,182.4766,24,=(Q11-Q$4)/SQRT(R11^2/S11+R$4^2/S$4),,100.8333,134.5678,24,=(V11-V$4)/SQRT(W11^2/X11+W$4^2/X$4),,=V11+Q11+L11+G11+B11
46-50,1244.0625,184.267,16,=(B12-B$4)/SQRT(C12^2/D12+C$4^2/D$4),,0,0,16,=(G12-G$4)/SQRT(H12^2/I12+H$4^2/I$4),,0.9375,2.7195,16,=(L12-L$4)/SQRT(M12^2/N12+M$4^2/N$4),,160.0625,158.7952,16,=(Q12-Q$4)/SQRT(R12^2/S12+R$4^2/S$4),,34.9375,44.084,16,=(V12-V$4)/SQRT(W12^2/X12+W$4^2/X$4),,=V12+Q12+L12+G12+B12
51-55,1167.6552,274.7598,29,=(B13-B$4)/SQRT(C13^2/D13+C$4^2/D$4),,0,0,29,=(G13-G$4)/SQRT(H13^2/I13+H$4^2/I$4),,11,18.5068,29,=(L13-L$4)/SQRT(M13^2/N13+M$4^2/N$4),,209,256.4377,29,=(Q13-Q$4)/SQRT(R13^2/S13+R$4^2/S$4),,52.3448,61.1802,29,=(V13-V$4)/SQRT(W13^2/X13+W$4^2/X$4),,=V13+Q13+L13+G13+B13
56-60,1206.6531,191.9343,49,=(B14-B$4)/SQRT(C14^2/D14+C$4^2/D$4),,16.2245,74.4041,49,=(G14-G$4)/SQRT(H14^2/I14+H$4^2/I$4),,26.0612,40.4137,49,=(L14-L$4)/SQRT(M14^2/N14+M$4^2/N$4),,135.0816,165.3104,49,=(Q14-Q$4)/SQRT(R14^2/S14+R$4^2/S$4),,55.9796,61.6135,49,=(V14-V$4)/SQRT(W14^2/X14+W$4^2/X$4),,=V14+Q14+L14+G14+B14
61-65,1225.2041,169.0621,98,=(B15-B$4)/SQRT(C15^2/D15+C$4^2/D$4),,6.8367,59.6268,98,=(G15-G$4)/SQRT(H15^2/I15+H$4^2/I$4),,22.2347,34.1307,98,=(L15-L$4)/SQRT(M15^2/N15+M$4^2/N$4),,130.6122,146.4761,98,=(Q15-Q$4)/SQRT(R15^2/S15+R$4^2/S$4),,55.1122,66.5816,98,=(V15-V$4)/SQRT(W15^2/X15+W$4^2/X$4),,=V15+Q15+L15+G15+B15
