,TIMEHOME,,,,,TIMEWORK,,,,,TIMESHOP,,,,,TIMEOTHE,,,,,TIMETRAV,,,,,SUMMARY
,Mean,Std Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means
Total,1179.1945,200.8891,1049,,,7.7674,58.1945,1049,,,35.4805,64.5431,1049,,,157.6492,176.7518,1049,,,59.9085,66.7052,1049,,,=V3+Q3+L3+G3+B3
Income Level
1,1121.7255,176.0856,51,=(B5-B$3)/SQRT(C5^2/D5+C$3^2/D$3),,12.2549,66.7481,51,=(G5-G$3)/SQRT(H5^2/I5+H$3^2/I$3),,31.1569,60.4554,51,=(L5-L$3)/SQRT(M5^2/N5+M$3^2/N$3),,203.1961,183.6217,51,=(Q5-Q$3)/SQRT(R5^2/S5+R$3^2/S$3),,71.6667,86.0964,51,=(V5-V$3)/SQRT(W5^2/X5+W$3^2/X$3),,=V5+Q5+L5+G5+B5
2,1160.5733,229.5356,75,=(B6-B$3)/SQRT(C6^2/D6+C$3^2/D$3),,10.8,66.7946,75,=(G6-G$3)/SQRT(H6^2/I6+H$3^2/I$3),,21.92,57.7662,75,=(L6-L$3)/SQRT(M6^2/N6+M$3^2/N$3),,197.2133,221.3191,75,=(Q6-Q$3)/SQRT(R6^2/S6+R$3^2/S$3),,49.4933,40.6117,75,=(V6-V$3)/SQRT(W6^2/X6+W$3^2/X$3),,=V6+Q6+L6+G6+B6
3,1199.5156,182.1046,64,=(B7-B$3)/SQRT(C7^2/D7+C$3^2/D$3),,0,0,64,=(G7-G$3)/SQRT(H7^2/I7+H$3^2/I$3),,32.4063,63.6101,64,=(L7-L$3)/SQRT(M7^2/N7+M$3^2/N$3),,149.9531,158.5583,64,=(Q7-Q$3)/SQRT(R7^2/S7+R$3^2/S$3),,58.125,51.2456,64,=(V7-V$3)/SQRT(W7^2/X7+W$3^2/X$3),,=V7+Q7+L7+G7+B7
4,1226.4125,167.4969,80,=(B8-B$3)/SQRT(C8^2/D8+C$3^2/D$3),,0,0,80,=(G8-G$3)/SQRT(H8^2/I8+H$3^2/I$3),,32.425,54.9015,80,=(L8-L$3)/SQRT(M8^2/N8+M$3^2/N$3),,128.7,154.4651,80,=(Q8-Q$3)/SQRT(R8^2/S8+R$3^2/S$3),,52.4625,59.2608,80,=(V8-V$3)/SQRT(W8^2/X8+W$3^2/X$3),,=V8+Q8+L8+G8+B8
5,1164.4247,194.9176,73,=(B9-B$3)/SQRT(C9^2/D9+C$3^2/D$3),,19.4247,98.5175,73,=(G9-G$3)/SQRT(H9^2/I9+H$3^2/I$3),,31.3836,64.4256,73,=(L9-L$3)/SQRT(M9^2/N9+M$3^2/N$3),,162.3836,154.4558,73,=(Q9-Q$3)/SQRT(R9^2/S9+R$3^2/S$3),,62.3836,70.0896,73,=(V9-V$3)/SQRT(W9^2/X9+W$3^2/X$3),,=V9+Q9+L9+G9+B9
6,1174.5814,221.6818,86,=(B10-B$3)/SQRT(C10^2/D10+C$3^2/D$3),,0,0,86,=(G10-G$3)/SQRT(H10^2/I10+H$3^2/I$3),,26.4302,61.4102,86,=(L10-L$3)/SQRT(M10^2/N10+M$3^2/N$3),,181.7674,205.4732,86,=(Q10-Q$3)/SQRT(R10^2/S10+R$3^2/S$3),,57.2209,65.6748,86,=(V10-V$3)/SQRT(W10^2/X10+W$3^2/X$3),,=V10+Q10+L10+G10+B10
7,1192.3721,213.6838,86,=(B11-B$3)/SQRT(C11^2/D11+C$3^2/D$3),,6.686,56.3164,86,=(G11-G$3)/SQRT(H11^2/I11+H$3^2/I$3),,38.8256,54.8015,86,=(L11-L$3)/SQRT(M11^2/N11+M$3^2/N$3),,154.4302,203.8499,86,=(Q11-Q$3)/SQRT(R11^2/S11+R$3^2/S$3),,47.686,38.0091,86,=(V11-V$3)/SQRT(W11^2/X11+W$3^2/X$3),,=V11+Q11+L11+G11+B11
8,1202.8592,207.8531,71,=(B12-B$3)/SQRT(C12^2/D12+C$3^2/D$3),,3.8732,32.6365,71,=(G12-G$3)/SQRT(H12^2/I12+H$3^2/I$3),,43.1408,67.0989,71,=(L12-L$3)/SQRT(M12^2/N12+M$3^2/N$3),,135.6901,163.6094,71,=(Q12-Q$3)/SQRT(R12^2/S12+R$3^2/S$3),,54.4366,72.1419,71,=(V12-V$3)/SQRT(W12^2/X12+W$3^2/X$3),,=V12+Q12+L12+G12+B12
9,1173.1471,211.8488,68,=(B13-B$3)/SQRT(C13^2/D13+C$3^2/D$3),,3.9706,30.3777,68,=(G13-G$3)/SQRT(H13^2/I13+H$3^2/I$3),,37.5588,69.1961,68,=(L13-L$3)/SQRT(M13^2/N13+M$3^2/N$3),,159.5588,167.7528,68,=(Q13-Q$3)/SQRT(R13^2/S13+R$3^2/S$3),,65.7647,71.3003,68,=(V13-V$3)/SQRT(W13^2/X13+W$3^2/X$3),,=V13+Q13+L13+G13+B13
10,1183.5484,214.3567,62,=(B14-B$3)/SQRT(C14^2/D14+C$3^2/D$3),,9.1935,62.0827,62,=(G14-G$3)/SQRT(H14^2/I14+H$3^2/I$3),,41.9677,60.5903,62,=(L14-L$3)/SQRT(M14^2/N14+M$3^2/N$3),,141.129,190.3034,62,=(Q14-Q$3)/SQRT(R14^2/S14+R$3^2/S$3),,64.1613,94.1704,62,=(V14-V$3)/SQRT(W14^2/X14+W$3^2/X$3),,=V14+Q14+L14+G14+B14
11,1186.8478,175.954,46,=(B15-B$3)/SQRT(C15^2/D15+C$3^2/D$3),,23.7609,97.3468,46,=(G15-G$3)/SQRT(H15^2/I15+H$3^2/I$3),,53.2609,99.7854,46,=(L15-L$3)/SQRT(M15^2/N15+M$3^2/N$3),,98.9783,124.7973,46,=(Q15-Q$3)/SQRT(R15^2/S15+R$3^2/S$3),,77.1522,83.8721,46,=(V15-V$3)/SQRT(W15^2/X15+W$3^2/X$3),,=V15+Q15+L15+G15+B15
12,1146.875,227.3419,64,=(B16-B$3)/SQRT(C16^2/D16+C$3^2/D$3),,26.25,124.0136,64,=(G16-G$3)/SQRT(H16^2/I16+H$3^2/I$3),,35.6875,65.4328,64,=(L16-L$3)/SQRT(M16^2/N16+M$3^2/N$3),,162.7344,188.1158,64,=(Q16-Q$3)/SQRT(R16^2/S16+R$3^2/S$3),,68.4531,89.8855,64,=(V16-V$3)/SQRT(W16^2/X16+W$3^2/X$3),,=V16+Q16+L16+G16+B16
13,1165.087,188.2184,23,=(B17-B$3)/SQRT(C17^2/D17+C$3^2/D$3),,0,0,23,=(G17-G$3)/SQRT(H17^2/I17+H$3^2/I$3),,22.1304,41.3283,23,=(L17-L$3)/SQRT(M17^2/N17+M$3^2/N$3),,202.087,186.3369,23,=(Q17-Q$3)/SQRT(R17^2/S17+R$3^2/S$3),,50.6957,30.5055,23,=(V17-V$3)/SQRT(W17^2/X17+W$3^2/X$3),,=V17+Q17+L17+G17+B17
14,1169.2813,184.3654,32,=(B18-B$3)/SQRT(C18^2/D18+C$3^2/D$3),,1.25,7.0711,32,=(G18-G$3)/SQRT(H18^2/I18+H$3^2/I$3),,41.5625,62.4613,32,=(L18-L$3)/SQRT(M18^2/N18+M$3^2/N$3),,159,146.7794,32,=(Q18-Q$3)/SQRT(R18^2/S18+R$3^2/S$3),,68.9063,56.2187,32,=(V18-V$3)/SQRT(W18^2/X18+W$3^2/X$3),,=V18+Q18+L18+G18+B18
15,1239.5238,194.9078,21,=(B19-B$3)/SQRT(C19^2/D19+C$3^2/D$3),,13.1905,60.4464,21,=(G19-G$3)/SQRT(H19^2/I19+H$3^2/I$3),,35.2381,52.1871,21,=(L19-L$3)/SQRT(M19^2/N19+M$3^2/N$3),,106.7143,182.5991,21,=(Q19-Q$3)/SQRT(R19^2/S19+R$3^2/S$3),,45.3333,40.976,21,=(V19-V$3)/SQRT(W19^2/X19+W$3^2/X$3),,=V19+Q19+L19+G19+B19
16,1183.7826,195.6939,23,=(B20-B$3)/SQRT(C20^2/D20+C$3^2/D$3),,6.3043,30.2346,23,=(G20-G$3)/SQRT(H20^2/I20+H$3^2/I$3),,36.1304,49.9584,23,=(L20-L$3)/SQRT(M20^2/N20+M$3^2/N$3),,153.5652,188.7945,23,=(Q20-Q$3)/SQRT(R20^2/S20+R$3^2/S$3),,60.2174,67.105,23,=(V20-V$3)/SQRT(W20^2/X20+W$3^2/X$3),,=V20+Q20+L20+G20+B20
17,1171.4355,184.5527,124,=(B21-B$3)/SQRT(C21^2/D21+C$3^2/D$3),,2.9839,28.3124,124,=(G21-G$3)/SQRT(H21^2/I21+H$3^2/I$3),,40.7419,73.6459,124,=(L21-L$3)/SQRT(M21^2/N21+M$3^2/N$3),,160.0726,147.6815,124,=(Q21-Q$3)/SQRT(R21^2/S21+R$3^2/S$3),,64.7661,63.2683,124,=(V21-V$3)/SQRT(W21^2/X21+W$3^2/X$3),,=V21+Q21+L21+G21+B21
