,TIMEHOME,,,,,TIMEWORK,,,,,TIMESHOP,,,,,TIMEOTHE,,,,,TIMETRAV,,,,,SUMMARY
,Mean,Std.Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means,,Mean,Std Dev,Cases,Diff Means
Total,1168.4203,225.7907,433,,,13.3349,79.8819,433,,,19.1848,41.7914,433,,,183.0462,205.5784,433,,,56.0139,65.0979,433,,,=V3+Q3+L3+G3+B3
Income Level
1,1071.95,264.3416,20,=(B5-B$3)/SQRT(C5^2/D5+C$3^2/D$3),,28.65,128.1267,20,=(G5-G$3)/SQRT(H5^2/I5+H$3^2/I$3),,10.9,18.708,20,=(L5-L$3)/SQRT(M5^2/N5+M$3^2/N$3),,280.6,256.7926,20,=(Q5-Q$3)/SQRT(R5^2/S5+R$3^2/S$3),,47.9,28.8187,20,=(V5-V$3)/SQRT(W5^2/X5+W$3^2/X$3),,=V5+Q5+L5+G5+B5
2,1146.3,251.6454,50,=(B6-B$3)/SQRT(C6^2/D6+C$3^2/D$3),,9.5,67.1751,50,=(G6-G$3)/SQRT(H6^2/I6+H$3^2/I$3),,11.46,20.0878,50,=(L6-L$3)/SQRT(M6^2/N6+M$3^2/N$3),,204.5,224.7615,50,=(Q6-Q$3)/SQRT(R6^2/S6+R$3^2/S$3),,68.24,89.4807,50,=(V6-V$3)/SQRT(W6^2/X6+W$3^2/X$3),,=V6+Q6+L6+G6+B6
3,1190.9655,199.5077,29,=(B7-B$3)/SQRT(C7^2/D7+C$3^2/D$3),,17.9655,96.7473,29,=(G7-G$3)/SQRT(H7^2/I7+H$3^2/I$3),,26.6897,70.8495,29,=(L7-L$3)/SQRT(M7^2/N7+M$3^2/N$3),,156.8276,192.2864,29,=(Q7-Q$3)/SQRT(R7^2/S7+R$3^2/S$3),,47.5517,52.6292,29,=(V7-V$3)/SQRT(W7^2/X7+W$3^2/X$3),,=V7+Q7+L7+G7+B7
4,1200.6667,216.1971,36,=(B8-B$3)/SQRT(C8^2/D8+C$3^2/D$3),,34.1667,136.1924,36,=(G8-G$3)/SQRT(H8^2/I8+H$3^2/I$3),,13.1389,29.3862,36,=(L8-L$3)/SQRT(M8^2/N8+M$3^2/N$3),,140.6667,178.8642,36,=(Q8-Q$3)/SQRT(R8^2/S8+R$3^2/S$3),,51.3611,57.5456,36,=(V8-V$3)/SQRT(W8^2/X8+W$3^2/X$3),,=V8+Q8+L8+G8+B8
5,1210.8667,202.8554,30,=(B9-B$3)/SQRT(C9^2/D9+C$3^2/D$3),,0,0,30,=(G9-G$3)/SQRT(H9^2/I9+H$3^2/I$3),,18.3,32.8026,30,=(L9-L$3)/SQRT(M9^2/N9+M$3^2/N$3),,170.7333,187.6778,30,=(Q9-Q$3)/SQRT(R9^2/S9+R$3^2/S$3),,40.1,29.3872,30,=(V9-V$3)/SQRT(W9^2/X9+W$3^2/X$3),,=V9+Q9+L9+G9+B9
6,1178.9375,189.1961,48,=(B10-B$3)/SQRT(C10^2/D10+C$3^2/D$3),,1.7708,12.2687,48,=(G10-G$3)/SQRT(H10^2/I10+H$3^2/I$3),,21.9792,40.7131,48,=(L10-L$3)/SQRT(M10^2/N10+M$3^2/N$3),,171.7083,168.1251,48,=(Q10-Q$3)/SQRT(R10^2/S10+R$3^2/S$3),,65.6042,67.0426,48,=(V10-V$3)/SQRT(W10^2/X10+W$3^2/X$3),,=V10+Q10+L10+G10+B10
7,1233.5135,175.0361,37,=(B11-B$3)/SQRT(C11^2/D11+C$3^2/D$3),,8.9189,38.2814,37,=(G11-G$3)/SQRT(H11^2/I11+H$3^2/I$3),,37.1622,60.5945,37,=(L11-L$3)/SQRT(M11^2/N11+M$3^2/N$3),,102,135.4663,37,=(Q11-Q$3)/SQRT(R11^2/S11+R$3^2/S$3),,58.4054,72.7994,37,=(V11-V$3)/SQRT(W11^2/X11+W$3^2/X$3),,=V11+Q11+L11+G11+B11
