"Table 3: Life Cycle Stage,Gender, and Activity Duration"
,,,TIMETRAV
,,,,,Difference,Difference
Number of,Youngest,Gender,Mean,Std Dev,of Means,of Means,Cases
Adults,Child,,,,Total,M-F
1,None,Male,71.5676,73.6935,=(D7-D$28)/SQRT(E7^2/$H7+E$28^2/$H$28),=(D7-D8)/SQRT(E7^2/$H7+E8^2/$H8),333
1,None,Female,65.8735,56.4602,=(D8-D$28)/SQRT(E8^2/$H8+E$28^2/$H$28),,324
2+,None,Male,66.8093,60.8595,=(D9-D$28)/SQRT(E9^2/$H9+E$28^2/$H$28),=(D9-D10)/SQRT(E9^2/$H9+E10^2/$H10),1489
2+,None,Female,64.9519,60.0792,=(D10-D$28)/SQRT(E10^2/$H10+E$28^2/$H$28),,1371
1,0-5,Male,27.3333,31.4113,=(D11-D$28)/SQRT(E11^2/$H11+E$28^2/$H$28),=(D11-D12)/SQRT(E11^2/$H11+E12^2/$H12),6
1,0-5,Female,60.3846,51.7364,=(D12-D$28)/SQRT(E12^2/$H12+E$28^2/$H$28),,78
2+,0-5,Male,67.9132,63.3566,=(D13-D$28)/SQRT(E13^2/$H13+E$28^2/$H$28),=(D13-D14)/SQRT(E13^2/$H13+E14^2/$H14),899
2+,0-5,Female,56.867,52.1862,=(D14-D$28)/SQRT(E14^2/$H14+E$28^2/$H$28),,827
1,6-15,Male,65.1481,61.5459,=(D15-D$28)/SQRT(E15^2/$H15+E$28^2/$H$28),=(D15-D16)/SQRT(E15^2/$H15+E16^2/$H16),27
1,6-15,Female,62.8319,56.2537,=(D16-D$28)/SQRT(E16^2/$H16+E$28^2/$H$28),,119
2+,6-15,Male,69.0205,64.6662,=(D17-D$28)/SQRT(E17^2/$H17+E$28^2/$H$28),=(D17-D18)/SQRT(E17^2/$H17+E18^2/$H18),731
2+,6-15,Female,62.6476,68.1129,=(D18-D$28)/SQRT(E18^2/$H18+E$28^2/$H$28),,718
1,16-21,Male,78.875,99.4464,=(D19-D$28)/SQRT(E19^2/$H19+E$28^2/$H$28),=(D19-D20)/SQRT(E19^2/$H19+E20^2/$H20),16
1,16-21,Female,57.4419,44.3661,=(D20-D$28)/SQRT(E20^2/$H20+E$28^2/$H$28),,43
2+,16-21,Male,70.4709,74.0114,=(D21-D$28)/SQRT(E21^2/$H21+E$28^2/$H$28),=(D21-D22)/SQRT(E21^2/$H21+E22^2/$H22),378
2+,16-21,Female,60.4943,61.7215,=(D22-D$28)/SQRT(E22^2/$H22+E$28^2/$H$28),,348
1,retired,Male,67.3846,77.7491,=(D23-D$28)/SQRT(E23^2/$H23+E$28^2/$H$28),=(D23-D24)/SQRT(E23^2/$H23+E24^2/$H24),13
1,retired,Female,74.3636,59.862,=(D24-D$28)/SQRT(E24^2/$H24+E$28^2/$H$28),,11
2+,retired,Male,61.4541,70.2325,=(D25-D$28)/SQRT(E25^2/$H25+E$28^2/$H$28),=(D25-D26)/SQRT(E25^2/$H25+E26^2/$H26),196
2+,retired,Female,52.8341,48.233,=(D26-D$28)/SQRT(E26^2/$H26+E$28^2/$H$28),,229
,,TOTAL,64.8264,62.2463,,,8159
