"Table 3: Life Cycle Stage,Gender, and Activity Duration"
,,,TIMEWORK
,,,,,Difference,Difference
Number of,Youngest,Gender,Mean,Std Dev,of Means,of Means,Cases
Adults,Child,,,,Total,M-F
1,None,Male,291.8348,270.0007,=(D7-D$28)/SQRT(E7^2/$H7+E$28^2/$H$28),=(D7-D8)/SQRT(E7^2/$H7+E8^2/$H8),333
1,None,Female,252.7284,262.6942,=(D8-D$28)/SQRT(E8^2/$H8+E$28^2/$H$28),,324
2+,None,Male,305.2371,283.4445,=(D9-D$28)/SQRT(E9^2/$H9+E$28^2/$H$28),=(D9-D10)/SQRT(E9^2/$H9+E10^2/$H10),1489
2+,None,Female,254.6018,261.2038,=(D10-D$28)/SQRT(E10^2/$H10+E$28^2/$H$28),,1371
1,0-5,Male,132.5,217.2499,=(D11-D$28)/SQRT(E11^2/$H11+E$28^2/$H$28),=(D11-D12)/SQRT(E11^2/$H11+E12^2/$H12),6
1,0-5,Female,180.1795,248.878,=(D12-D$28)/SQRT(E12^2/$H12+E$28^2/$H$28),,78
2+,0-5,Male,341.0011,279.7634,=(D13-D$28)/SQRT(E13^2/$H13+E$28^2/$H$28),=(D13-D14)/SQRT(E13^2/$H13+E14^2/$H14),899
2+,0-5,Female,157.6409,233.9267,=(D14-D$28)/SQRT(E14^2/$H14+E$28^2/$H$28),,827
1,6-15,Male,192.8148,246.502,=(D15-D$28)/SQRT(E15^2/$H15+E$28^2/$H$28),=(D15-D16)/SQRT(E15^2/$H15+E16^2/$H16),27
1,6-15,Female,266.5378,260.6388,=(D16-D$28)/SQRT(E16^2/$H16+E$28^2/$H$28),,119
2+,6-15,Male,315.3885,279.8863,=(D17-D$28)/SQRT(E17^2/$H17+E$28^2/$H$28),=(D17-D18)/SQRT(E17^2/$H17+E18^2/$H18),731
2+,6-15,Female,213.1295,249.6202,=(D18-D$28)/SQRT(E18^2/$H18+E$28^2/$H$28),,718
1,16-21,Male,256,267.7798,=(D19-D$28)/SQRT(E19^2/$H19+E$28^2/$H$28),=(D19-D20)/SQRT(E19^2/$H19+E20^2/$H20),16
1,16-21,Female,206.8837,243.1167,=(D20-D$28)/SQRT(E20^2/$H20+E$28^2/$H$28),,43
2+,16-21,Male,288.7593,275.5628,=(D21-D$28)/SQRT(E21^2/$H21+E$28^2/$H$28),=(D21-D22)/SQRT(E21^2/$H21+E22^2/$H22),378
2+,16-21,Female,242.6264,256.1752,=(D22-D$28)/SQRT(E22^2/$H22+E$28^2/$H$28),,348
1,retired,Male,0,0,=(D23-D$28)/SQRT(E23^2/$H23+E$28^2/$H$28),NA,13
1,retired,Female,0,0,=(D24-D$28)/SQRT(E24^2/$H24+E$28^2/$H$28),,11
2+,retired,Male,135.0153,230.0708,=(D25-D$28)/SQRT(E25^2/$H25+E$28^2/$H$28),=(D25-D26)/SQRT(E25^2/$H25+E26^2/$H26),196
2+,retired,Female,138.6943,228.9427,=(D26-D$28)/SQRT(E26^2/$H26+E$28^2/$H$28),,229
,,TOTAL,259.7991,271.2033,,,8159
