TABLE 1: Models to Predict Travel Duration by Activity Duration and Number
,,,,Activity
,,,,,,,Visit,Other
,Home,Work,Shopping,Personal ,School,Doctor,Friends,Social,TOTAL
,, & Related,,Business,Church,Dentist,Relatives,Recreation,OTHER
Activity Duration
Mean,984,492,65.6,89.5,203.5,85.1,178,150.3,192.7
Std. Dev.,257,158,82.7,118.1,160.7,75.3,147.9,136.8,167.5
Travel Duration
Mean,28.8,24.1,14.7,24.1,17.8,19.1,23.2,23.6,30.2
Std. Dev.,40.1,24.5,17,30.1,14.3,11.9,24.5,28.3,32.7
Stops
Mean,1.41,1.13,1.27,1.65,1.16,1.07,1.25,1.29,1.84
Std. Dev.,0.69,0.47,0.64,1.08,0.46,0.26,0.6,0.63,1.29
Coefficients
Number of Stops,7.891802,16.895841,10.824113,11.243264,8.632229,20.771117,14.462488,16.397005,12.229721
(t - stat),12.401,22.929,22.912,20.614,8.567,6.23,13.41,16.36,32.409
Activity Duration,-0.023708,-0.00022461,0.030812,0.028361,0.020209,0.004908,0.027065,0.042743,0.027918
(t - stat),-13.623,-0.098,8.334,5.66,7.057,0.415,6.095,9.172,9.668
Constant,41.216292,5.183207,-0.841878,3.216405,3.717348,-3.512236,0.522212,-3.783171,3.654185
(t - stat),20.355,3.608,-1.281,3.072,2.833,-1,0.325,-2.761,4.181
N,8038,4287,2589,2260,850,165,1201,1750,4768
Adj. R-Square,0.04291,0.10888,0.22494,0.20427,0.14412,0.20478,0.16933,0.23004,0.23683
Std. Error,39.42485,23.16518,15.04976,26.88838,13.24542,10.61753,22.40745,24.90881,31.8683
F-Stat,181.19627,262.90796,376.70048,291.0851,72.56382,22.24422,123.41205,262.41583,740.80095
Sig. F,0,0,0,0,0,0,0,0,0
"note: mean activity duration, travel duration, and number of stops is only for those making trips (number of stops > 1), as are associated regressions"
